Country,Year,Exports of goods and services (% of GDP),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)",Trade (% of GDP),"Employment to population ratio, 15+, female (%) (modeled ILO estimate)","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, female (%) (national estimate)","Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, male (%) (national estimate)","Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",Unemployment with advanced education (% of total labor force with advanced education),"Unemployment with advanced education, female (% of female labor force with advanced education)","Unemployment with advanced education, male (% of male labor force with advanced education)",Unemployment with basic education (% of total labor force with basic education),"Unemployment with basic education, female (% of female labor force with basic education)","Unemployment with basic education, male (% of male labor force with basic education)","Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)_x","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",Current account balance (% of GDP),External debt stocks (% of GNI),"Foreign direct investment, net inflows (% of GDP)",Gini index,"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Population growth (annual %),Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),"Unemployment, total (% of total labor force) (modeled ILO estimate)_y",Urban population (% of total population),agr_area_harvested_avg,agr_production_avg,agr_yield_avg,agr_area_harvested_item_count,agr_production_item_count,agr_yield_item_count,agr_area_harvested_total,agr_production_total,agr_yield_total,pop_rural_population,pop_total_population___both_sexes,pop_total_population___female,pop_total_population___male,pop_urban_population,disaster_count,disaster_deaths,disaster_injured,disaster_affected,disaster_total_affected,disaster_damage_usd_thousands,disaster_aid_usd_thousands,Trade_Dependency_Index,Resilience_Score,Spending_Efficiency,Shock_Impact_Score
Israel,2018,0.2467408444019381,376299083108.497,0.4515729444871315,0.4928606302503913,0.2277643084149009,0.17159294256624688,58.7437542387448,0.8795833400311851,0.5363200689246674,45.359,45.251,47.357,47.474,46.38,2.462,2.388,2.549,6.778,8.583,5.962,3.877,3.953,3.917,7.238,6.83,7.025,2.89676496417534,0.1327831977699491,5.71739368118438,38.6,84.8,80.9,0.9405325333916528,1.92662286520241,0.7,3.917,92.418,4060.676056338028,70413.4292248062,17940.234285714283,71.0,129.0,70.0,288308.0,9083332.37,1255816.4,640922.0,0.0031727373719552,4285825.0,4224242.0,7811919.0,1.0,0.000135669869983,0.0,0.0,0.0,0.0,0.0,0.2372525764084195,0.6999512258505787,1.6192432510076422,0.042747667523422
Israel,2019,0.2385648335302593,400645216358.857,0.4483144514897542,0.514897980366218,0.2082788439496917,0.17247301882706206,56.325348642584,0.8761915478467746,0.5256313607237091,44.788,44.745,46.208,46.257,45.514,2.566,2.642,2.473,6.146,7.094,5.729,3.846,3.627,3.731,7.133,5.955,6.525,3.33539487166388,0.1327831977699491,4.33363467004394,38.3,84.7,81.0,0.9406150583244964,1.90898263957994,1.0,3.731,92.501,4030.9718309859154,73983.86488,18296.328169014087,71.0,125.0,71.0,286199.0,9247983.11,1299039.3,643684.0,0.0032740982817748,4357358.0,4300117.0,7940232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2234218387399755,0.6966136546998308,1.6867675926101577,0.0
Israel,2020,0.2177789830230665,410768352657.612,0.3846542601711231,0.5186908601923069,0.1708371124819373,0.14934140407542107,51.2366737920366,0.856210516163256,0.4609606375531743,41.196,41.143,41.779,41.807,41.494,2.866,2.783,2.966,7.01,7.02,7.005,3.973,4.348,4.169,7.939,7.366,7.645,4.06297123233132,0.1327831977699491,5.1047506129271,37.8,84.8,80.6,0.9353334626223956,1.76367939210866,0.7,4.169,92.587,4351.338028169014,74319.90040000001,18333.240845070424,71.0,125.0,71.0,308945.0,9289987.55,1301660.1,645956.0,0.0033723614357298,4426845.0,4373531.0,8067603.0,2.0,7.91407574901074e-05,0.0,6.060565184586331e-08,21.0,0.0027291549030679,0.0,0.1943080477525019,0.6594848325356737,1.838510425142471,0.8325097442759755
Israel,2021,0.2367532811840945,489851549972.347,0.5113723249295972,0.6085148932144584,0.1938266433516908,0.18322267990525498,54.9016842006986,0.8534617177578806,0.4386947391093641,42.015,42.005,42.47,42.464,42.248,3.457,3.511,3.391,7.377,6.348,7.903,4.731,4.886,4.812,7.877,7.433,7.649,3.25786455118922,0.1327831977699491,3.86849852798664,37.9,84.6,80.5,0.9302994417188292,1.68190551747412,0.7,4.812,92.674,5352.112676056338,76912.8252,18077.967605633803,71.0,125.0,71.0,380000.0,9614103.15,1283535.7,647742.0,0.0034703811700231,4496364.0,4446561.0,8193994.000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21528996226789265,0.6959166650273496,1.9256381306988448,0.0
Israel,2022,0.2661945915794444,525181008025.57,0.4766651969152465,0.6397823171971162,0.2301418228302267,0.22871760418018294,60.6448526742952,0.8863829992444823,0.4950729632222281,44.276,44.194,44.107,44.138,44.189,2.448,2.495,2.39,6.873,6.207,7.182,3.581,3.8,3.695,6.413,7.01,6.719,3.25680093884263,0.1327831977699491,4.35725962102686,37.9,84.8,80.7,0.9370664862121472,1.96636884788361,0.7,3.695,92.763,5224.760563380281,78816.81304,19507.98309859155,71.0,125.0,71.0,370958.0,9852101.63,1385066.8,649092.0,0.0035805574472533,4574595.0,4528556.0,8320013.999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24816820720483557,0.7014865547869163,1.76979011929067,0.0
Israel,2023,0.2549920168618979,512184638998.974,0.4273912270436819,0.6053961792093879,0.2109673037801086,0.22549221812118334,57.9903207136983,0.8984391326013921,0.4885035808518658,43.925,44.997,43.569,46.09,43.743,2.399,2.436,2.352,5.874,5.639,5.992,3.485,3.701,3.596,6.299,6.879,6.595,3.63228386473286,0.1327831977699491,3.15027018997193,37.9,85.5,81.0,0.9538190475797496,3.00437405991345,0.7,3.596,92.854,4630.549295774648,91204.18831683169,19752.07464788733,71.0,101.0,71.0,328769.0,9211623.02,1402397.3,650025.0,0.0036858763332675,4649406.0,4606908.0,8445858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23297966032100326,0.6915605437833534,1.6897461076348004,0.0
Israel,2024,0.2322870431840581,540379921261.681,0.4167900787333028,0.6307601816816261,0.1931298374219102,0.20734469000462125,54.4520002969727,0.904997669147551,0.4983576544074093,44.086,44.997,43.638,46.09,43.857,2.399,2.436,2.352,5.874,5.639,5.992,3.162,3.139,3.15,5.973,6.174,6.075,3.09280551375385,0.1327831977699491,3.11049677063416,37.9,85.5,81.0,0.9538190475797496,1.26518834033156,0.7,3.15,92.946,4630.549295774648,91204.18831683169,19752.07464788733,0.0,0.0,0.0,0.0,0.0,0.0,650025.0,0.0036858763332675,4649406.0,4606908.0,8445858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21270844030298414,0.6907622626968442,1.854474007805181,0.0
Italy,2000,0.1992643756284706,1149661363439.38,0.4502202498787366,0.2340494617621575,0.1782475459223266,0.19913879099581824,50.2747311455639,0.4237489752286646,0.234236174680954,21.887,21.979,30.243,30.211,26.155,6.064,8.569,3.989,12.039,17.457,9.511,14.849,8.318,10.834,35.559,28.297,31.46,-0.270230356072507,0.1327831977699491,1.14581409094162,35.2,82.8,76.9,0.8382016166634343,0.045303631138613,1.2,10.834,67.222,103176.68674698797,780521.0256493507,12196.0425,83.0,154.0,80.0,8563665.0,120200237.95,975683.4,18779731.0,0.0367028530393399,29537500.0,27734696.0,38513990.0,4.0,0.0004974561899378,5.966603294107437e-05,0.0001451649660879,50322.0,0.0378787878787878,0.0,0.1887559607753986,0.5388168365876472,0.7051318217893079,1.0511450943965646
Italy,2001,0.1992630490781969,1172041488805.87,0.4293893184757342,0.2384901029200074,0.1735518971664319,0.20304852472117216,49.8632723203495,0.4405954122393865,0.2400786171988582,22.149,22.214,30.184,30.153,26.255,5.479,7.471,3.768,10.98,16.201,8.446,13.036,7.403,9.599,31.767,24.737,27.806,0.15478537448926,0.1327831977699491,1.26941636801649,34.95,83.2,77.2,0.8500026820603179,0.0612241572425483,1.45,9.599,67.282,101787.01204819276,745669.0818181818,12119.865,83.0,154.0,80.0,8448322.0,114833038.6,969589.2,18815119.0,0.0367259325238772,29556305.0,27749456.0,38691248.0,3.0,2.2611644997173544e-05,0.0,0.0,0.0,0.0013085827216262,0.0,0.1864074731223144,0.5398983659292261,0.710145518730125,0.036245726913292496
Italy,2002,0.1849167575028071,1281746271196.04,0.4101039037333229,0.2604456490951438,0.1650637690340004,0.19799560150280265,47.8713186791542,0.4495491006124515,0.2525712131818427,21.081,21.149,30.201,30.203,25.741,5.513,7.618,3.656,10.624,15.741,8.12,12.612,7.02,9.211,31.768,23.739,27.171,-0.489738960441859,0.1327831977699491,1.3449900649055,34.7,83.2,77.4,0.8534687292398209,0.197854295667482,1.7,9.211,67.382,101429.44578313253,744306.9500645162,11712.283950617284,83.0,155.0,81.0,8418644.0,115367577.26,948695.0,18853502.0,0.0368049187659767,29611452.0,27809175.0,38948261.0,6.0,0.0004183154324477,0.0001681497291975,5.771101047436803e-05,29559.0,0.0089026915113871,0.0,0.17499026326840375,0.5379729167353026,0.7873686654014431,0.25938403397042137
